shellH,element,row,col,cellArea,activeArea,areaFraction,outerEdgeCrossings,holeEdgeCrossings,totalBoundaryCrossings,holeOverlapCount,holeThroughCell,complexBoundary,sliverRisk,smallRetainedRegion,bboxFillRatio,minVisibleTriangleArea,triangleAreaEstimate,triangleAreaRelativeError,subCellDiv,triGaussN,visibleTriangles,candidateIntegrationPoints,acceptedIntegrationPoints,backend,policyReason,fallback,integrationPoints
819,345,9,21,0.000771605,0.000542333,0.702864,0,5,5,1,1,1,0,0,0.73891,0,0,0,6,7,0,576,406,subcell,forced-subcell,0,406
819,346,9,22,0.000771605,0.000770176,0.998148,0,1,1,1,1,0,0,0,0.998148,0,0,0,6,7,0,576,574,subcell,forced-subcell,0,574
819,776,21,20,0.000771605,0.00073578,0.953571,0,1,1,1,1,0,0,0,0.953571,0,0,0,6,7,0,576,549,subcell,forced-subcell,0,549
819,777,21,21,0.000771605,0.000137296,0.177935,0,1,1,1,1,0,0,1,0.5,0,0,0,6,7,0,576,103,subcell,forced-subcell,0,103
819,780,21,24,0.000771605,2.00543e-05,0.0259904,0,1,1,1,1,0,0,1,0.5,0,0,0,6,7,0,576,17,subcell,forced-subcell,0,17
819,781,21,25,0.000771605,0.000596717,0.773345,0,1,1,1,1,0,0,0,0.773345,0,0,0,6,7,0,576,443,subcell,forced-subcell,0,443
819,555,15,15,0.000771605,0.000789626,1,0,52,52,4,1,1,0,0,1,0,0,0,6,7,0,576,497,subcell,forced-subcell,0,497
819,556,15,16,0.000771605,0.000789658,1,0,64,64,6,1,1,0,0,1,0,0,0,6,7,0,576,500,subcell,forced-subcell,0,500
819,557,15,17,0.000771605,0.000735531,0.953249,0,20,20,2,1,1,0,0,0.953248,0,0,0,6,7,0,576,551,subcell,forced-subcell,0,551
819,591,16,15,0.000771605,0.000756483,0.980402,0,68,68,6,1,1,0,0,0.980402,0,0,0,6,7,0,576,468,subcell,forced-subcell,0,468
819,592,16,16,0.000771605,0.000756294,0.980157,0,84,84,9,1,1,0,0,0.980158,0,0,0,6,7,0,576,473,subcell,forced-subcell,0,473
819,593,16,17,0.000771605,0.000725297,0.939984,0,26,26,3,1,1,0,0,0.939984,0,0,0,6,7,0,576,542,subcell,forced-subcell,0,542
819,811,22,19,0.000771605,0.000768015,0.995347,0,1,1,1,1,0,0,0,0.995347,0,0,0,6,7,0,576,573,subcell,forced-subcell,0,573
819,812,22,20,0.000771605,0.000249892,0.32386,0,1,1,1,1,0,0,0,0.5,0,0,0,6,7,0,576,187,subcell,forced-subcell,0,187
819,815,22,23,0.000771605,1.50215e-07,0.000194679,0,1,1,1,1,0,0,1,0.5,0,0,0,6,7,0,576,0,subcell,forced-subcell,0,0
819,816,22,24,0.000771605,0.00047179,0.61144,0,1,1,1,1,0,0,0,0.61144,0,0,0,6,7,0,576,352,subcell,forced-subcell,0,352
819,831,23,3,0.000771605,0.000770606,0.998705,0,2,2,1,1,0,0,0,0.998705,0,0,0,6,7,0,576,575,subcell,forced-subcell,0,575
819,832,23,4,0.000771605,0.000734907,0.952439,0,4,4,1,1,1,0,0,0.969803,0,0,0,6,7,0,576,546,subcell,forced-subcell,0,546
819,833,23,5,0.000771605,0.000766602,0.993516,0,2,2,1,1,0,0,0,0.993517,0,0,0,6,7,0,576,570,subcell,forced-subcell,0,570
819,847,23,19,0.000771605,0.000391132,0.506908,0,1,1,1,1,0,0,0,0.555176,0,0,0,6,7,0,576,293,subcell,forced-subcell,0,293
819,851,23,23,0.000771605,0.000327109,0.423934,0,1,1,1,1,0,0,0,0.510712,0,0,0,6,7,0,576,244,subcell,forced-subcell,0,244
819,866,24,2,0.000771605,0.000660255,0.85569,0,4,4,1,1,1,0,0,0.85569,0,0,0,6,7,0,576,493,subcell,forced-subcell,0,493
