shellH,element,row,col,cellArea,activeArea,areaFraction,outerEdgeCrossings,holeEdgeCrossings,totalBoundaryCrossings,holeOverlapCount,holeThroughCell,complexBoundary,sliverRisk,smallRetainedRegion,bboxFillRatio,minVisibleTriangleArea,triangleAreaEstimate,triangleAreaRelativeError,subCellDiv,triGaussN,visibleTriangles,candidateIntegrationPoints,acceptedIntegrationPoints,backend,policyReason,fallback,integrationPoints
819,57,5,7,0.01,0.00755196,0.755196,0,12,12,1,1,1,0,0,0.755196,9.06452e-07,0.00755196,2.28328e-08,5,7,13,91,91,triangle,forced-triangle,0,91
819,56,5,6,0.01,0.00326366,0.326366,0,10,10,1,1,1,0,0,0.326366,3.04866e-06,0.00326366,1.45228e-09,5,7,13,91,91,triangle,forced-triangle,0,91
819,16,1,6,0.01,0.00908292,0.908292,0,9,9,1,1,1,0,0,0.908292,6.73597e-07,0.00908292,3.19325e-08,5,7,11,77,77,triangle,forced-triangle,0,77
819,61,6,1,0.01,0.00750483,0.750483,0,12,12,1,1,1,0,0,0.750483,3.5059e-06,0.00750483,2.23149e-08,5,7,14,98,98,triangle,forced-triangle,0,98
819,81,8,1,0.01,0.00671733,0.671733,0,12,12,1,1,1,0,0,0.671733,1.20632e-05,0.00671733,2.1438e-08,5,7,14,98,98,triangle,forced-triangle,0,98
819,26,2,6,0.01,0.00829399,0.829399,0,14,14,1,1,1,0,0,0.829399,1.28189e-06,0.00829399,2.49567e-08,5,7,16,112,112,triangle,forced-triangle,0,112
819,75,7,5,0.01,0.00761661,0.761661,0,17,17,1,1,1,0,0,0.761661,1.75994e-06,0.00761661,1.78311e-08,5,7,19,133,133,triangle,forced-triangle,0,133
819,14,1,4,0.01,0.0068061,0.68061,0,14,14,1,1,1,0,0,0.68061,1.86307e-06,0.0068061,1.00918e-08,5,7,16,112,112,triangle,forced-triangle,0,112
819,15,1,5,0.01,0.00512717,0.512717,0,9,9,1,1,1,0,0,0.817905,5.04926e-06,0.00512717,1.67485e-08,5,7,12,84,84,triangle,forced-triangle,0,84
819,24,2,4,0.01,0.00501717,0.501717,0,19,19,1,1,1,0,0,0.501717,6.72889e-07,0.00501717,4.70861e-08,5,7,21,147,147,triangle,forced-triangle,0,147
819,25,2,5,0.01,0.00312717,0.312717,0,9,9,1,1,1,0,0,0.732588,5.04926e-06,0.00312717,5.65284e-08,5,7,12,84,84,triangle,forced-triangle,0,84
819,44,4,4,0.01,0.01,1,0,320,320,20,1,1,0,0,1,3.21159e-07,0.00932495,0.0675054,5,7,282,1974,1974,triangle,forced-triangle,0,1974
